[02Dec2024 00:15:45.296] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.neoForgeVersion, 20.4.237, --fml.fmlVersion, 2.0.17, --fml.mcVersion, 1.20.4, --fml.neoFormVersion, 20231207.154220, nogui]
[02Dec2024 00:15:45.300] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 21.0.5 by Ubuntu; OS Linux arch amd64 version 6.5.0-1025-azure
[02Dec2024 00:15:46.460] [main/INFO] [net.neoforged.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[02Dec2024 00:15:46.505] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/ideal-carnival/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.13.1+mixin.0.8.5/sponge-mixin-0.13.1+mixin.0.8.5.jar%2379!/ Service=ModLauncher Env=SERVER
[02Dec2024 00:15:47.183] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "accelerated-decay-neoforge-84.0.0.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.184] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ActuallyAdditions-1.2.14+mc1.20.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.184] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AE2-Things-1.3.2-beta.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.184] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ae2qolrecipes-neoforge-1.20.2-1.20.4-1.2.0.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.185] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ae2wtlib-17.12.0-beta.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.185] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "allarrowsinfinityfix-1.5-neoforge-mc1.20.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.185] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "almostunified-neoforge-1.20.4-0.7.2.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.185] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AmbientEnvironment-neoforge-1.20.4-14.0.0.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.186] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "antiblocksrechiseled-neo-0.7.2.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.189] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ApothicAttributes-1.20.4-2.1.2.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.189] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ApothicEnchanting-1.20.4-1.0.1.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
